Date,Open,High,Low,Close,Adj Close,Volume
2016-02-25,21.000000,21.000000,21.000000,21.000000,18.279558,0
2016-02-26,21.000000,20.049999,20.049999,21.000000,18.279558,2500
2016-02-29,21.700001,21.700001,21.700001,21.250000,18.497171,26549
2016-03-01,21.250000,21.250000,21.250000,21.250000,18.497171,0
2016-03-02,21.250000,21.250000,21.250000,21.250000,18.497171,0
2016-03-03,21.250000,21.250000,21.250000,21.250000,18.497171,0
2016-03-04,21.660000,21.850000,21.660000,22.000000,19.150011,35000
2016-03-07,23.820000,23.820000,22.125000,24.500000,21.326149,62812
2016-03-08,25.820000,25.900000,25.820000,25.000000,21.761375,20430
2016-03-09,25.000000,25.000000,25.000000,25.000000,21.761375,0
2016-03-10,26.000000,26.000000,26.000000,26.000000,22.631830,5000
2016-03-11,27.000000,30.850000,27.000000,30.000000,26.113651,78631
2016-03-14,29.150000,32.790001,29.150000,31.500000,27.419334,49210
2016-03-15,32.750000,32.750000,30.000000,30.500000,26.548880,31406
2016-03-16,28.000000,28.500000,28.000000,29.750000,25.896040,11548
2016-03-17,29.750000,29.750000,29.750000,29.750000,25.896040,0
2016-03-18,29.750000,29.750000,29.750000,29.750000,25.896040,0
2016-03-21,29.750000,29.750000,29.750000,29.750000,25.896040,0
2016-03-22,29.750000,29.750000,29.750000,29.750000,25.896040,0
2016-03-23,29.250000,29.250000,29.250000,29.250000,25.460808,0
2016-03-24,29.000000,29.000000,29.000000,29.250000,25.460808,3388
2016-03-29,28.500000,29.000000,28.500000,29.250000,25.460808,451
2016-03-30,29.250000,29.250000,29.250000,29.250000,25.460808,0
2016-03-31,29.250000,29.250000,29.250000,29.250000,25.460808,0
2016-04-01,29.250000,29.250000,29.250000,29.250000,25.460808,0
2016-04-04,28.500000,28.500000,25.750000,28.000000,24.372742,20881
2016-04-05,27.700001,27.700001,27.700001,28.000000,24.372742,18772
2016-04-06,28.250000,28.250000,28.250000,28.250000,24.590357,0
2016-04-07,28.250000,28.250000,27.750000,28.250000,24.590357,7638
2016-04-08,27.500000,27.500000,27.500000,28.250000,24.590357,1314
2016-04-11,28.250000,28.250000,28.250000,28.250000,24.590357,0
2016-04-12,27.500000,27.500000,27.500000,28.250000,24.590357,985
2016-04-13,26.000000,27.000000,25.000000,26.500000,23.067060,34247
2016-04-14,25.000000,25.000000,25.000000,26.000000,22.631830,3807
2016-04-15,25.879999,25.879999,25.879999,26.000000,22.631830,1883
2016-04-18,24.000000,24.100000,24.000000,24.750000,21.543762,15384
2016-04-19,24.100000,24.975000,24.100000,24.750000,21.543762,144
2016-04-20,25.049999,25.049999,25.049999,24.750000,21.543762,50000
2016-04-21,24.500000,25.799999,24.500000,25.250000,21.978991,40000
2016-04-22,25.750000,25.750000,25.750000,25.250000,21.978991,40000
2016-04-25,24.850000,26.250000,24.850000,25.250000,21.978991,3518
2016-04-26,25.250000,25.250000,25.250000,25.250000,21.978991,0
2016-04-27,25.250000,25.250000,25.250000,25.250000,21.978991,0
2016-04-28,26.250000,26.250000,25.110001,25.500000,22.196606,20233
2016-04-29,25.500000,25.500000,25.500000,25.500000,22.196606,0
2016-05-03,25.150000,26.350000,25.150000,25.500000,22.196606,50000
2016-05-04,25.150000,26.350000,25.150000,25.500000,22.196606,30242
2016-05-05,25.500000,25.500000,25.500000,25.500000,22.196606,25000
2016-05-06,25.950001,25.950001,25.950001,25.500000,22.196606,185
2016-05-09,25.500000,25.500000,25.500000,25.500000,22.196606,0
2016-05-10,24.625000,25.889999,24.625000,25.500000,22.196606,5504
2016-05-11,25.500000,25.500000,25.500000,25.500000,22.196606,0
2016-05-12,25.152000,25.152000,25.152000,25.500000,22.196606,725
2016-05-13,25.500000,25.500000,25.500000,25.500000,22.196606,0
2016-05-16,25.500000,25.500000,25.500000,25.500000,22.196606,0
2016-05-17,25.500000,25.500000,25.500000,25.500000,22.196606,0
2016-05-18,25.500000,25.500000,25.500000,25.500000,22.196606,0
2016-05-19,25.500000,25.500000,25.500000,25.500000,22.196606,0
2016-05-20,25.500000,25.500000,25.500000,25.500000,22.196606,0
2016-05-23,25.500000,25.500000,25.500000,25.500000,22.196606,0
2016-05-24,25.152000,25.152000,25.152000,25.500000,22.196606,500
2016-05-25,25.879999,25.879999,25.879999,25.500000,22.196606,1874
2016-05-26,24.625000,24.625000,24.625000,25.500000,22.196606,7350
2016-05-27,25.500000,25.500000,25.500000,25.500000,22.196606,0
2016-05-31,25.500000,25.500000,25.500000,25.500000,22.196606,0
2016-06-01,25.500000,25.500000,25.500000,25.500000,22.196606,0
2016-06-02,25.700001,25.700001,24.684999,25.250000,21.978991,8500
2016-06-03,25.400000,25.400000,25.400000,25.250000,21.978991,8500
2016-06-06,25.700001,25.700001,25.250000,25.250000,21.978991,39398
2016-06-07,25.620001,25.620001,25.600000,25.250000,21.978991,2921
2016-06-08,24.000000,25.250000,24.000000,25.250000,21.978991,45429
2016-06-09,25.200001,25.200001,25.200001,25.250000,21.978991,29500
2016-06-10,24.000000,24.299999,24.000000,25.250000,21.978991,26500
2016-06-13,26.250000,34.000000,27.250000,31.000000,26.984106,610148
2016-06-14,32.000000,33.900002,30.299999,31.000000,26.984106,291890
2016-06-15,30.420000,32.500000,30.420000,31.250000,27.201721,175477
2016-06-16,31.650000,31.650000,30.600000,31.000000,26.984106,53502
2016-06-17,31.900000,33.470001,31.830000,32.250000,28.072176,255814
2016-06-20,33.470001,34.500000,32.099998,33.250000,28.942631,179038
2016-06-21,34.500000,38.799999,34.000000,37.500000,32.642067,252029
2016-06-22,38.799999,38.799999,34.500000,37.000000,32.206837,200767
2016-06-23,37.700001,37.700001,34.509998,35.500000,30.901155,96717
2016-06-24,33.000000,34.660000,30.379999,32.500000,28.289789,117359
2016-06-27,31.629999,32.599998,31.000000,32.000000,27.854561,28317
2016-06-28,31.080000,31.080000,29.600000,31.000000,26.984106,110963
2016-06-29,30.049999,32.799999,30.049999,32.000000,27.854561,42213
2016-06-30,33.240002,33.900002,32.099998,33.250000,28.942631,80447
2016-07-01,32.000000,32.500000,30.000000,31.750000,27.636948,87500
